                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2693,                 2.3634,                  1.237,                0.42627,                0.41009,                0.37032,                 0.2311,                 1.2894,                 2.2064,                 1.2638,              0.0033253,              0.0033253,              0.0033253
                      2,                 1.0505,                 1.1955,                 1.0753,                0.55817,                0.42317,                 0.4376,                0.27059,                 1.4638,                 1.9275,                 1.3554,              0.0065927,              0.0065927,              0.0065927
                      3,                 1.0942,                 1.0597,                 1.1036,                0.26428,                0.20244,                0.11463,                0.04741,                 2.0379,                 3.1519,                 1.6873,              0.0097941,              0.0097941,              0.0097941
                      4,                 1.0961,                0.98699,                 1.1145,                0.71764,                0.41284,                0.47448,                0.29313,                 1.5856,                 2.0076,                 1.4685,               0.009703,               0.009703,               0.009703
                      5,                0.98086,                0.79965,                 1.0615,                0.55175,                0.41195,                0.42339,                0.26783,                 1.4735,                 2.1917,                 1.3716,               0.009604,               0.009604,               0.009604
                      6,                0.90935,                0.70038,                  1.029,                0.69238,                0.47537,                0.51919,                 0.3528,                  1.511,                 1.8562,                 1.4002,               0.009505,               0.009505,               0.009505
                      7,                0.85932,                0.64093,                 1.0072,                0.61742,                0.38298,                0.44013,                0.29548,                 1.5474,                 2.6405,                 1.4396,               0.009406,               0.009406,               0.009406
                      8,                0.82314,                0.59562,                0.99202,                0.62072,                0.45732,                0.50938,                0.32241,                 1.5148,                 1.9488,                 1.4118,               0.009307,               0.009307,               0.009307
                      9,                0.79432,                0.56442,                0.98293,                0.62366,                0.51146,                0.52081,                0.34806,                 1.5096,                 1.8035,                 1.4535,               0.009208,               0.009208,               0.009208
                     10,                0.76663,                0.53677,                0.96968,                0.63166,                 0.4761,                0.54269,                0.36489,                 1.4375,                 2.1545,                 1.3753,               0.009109,               0.009109,               0.009109
                     11,                0.74864,                0.51807,                0.96367,                0.62957,                0.52397,                0.53892,                0.37022,                 1.3612,                 1.8712,                 1.3291,                0.00901,                0.00901,                0.00901
