,0,1,2,3,4,5
0,Normal_Videos_903_x264_1,1.0,0.0,0.0,1.0,1.0
1,Normal_Videos_902_x264_5,1.0,0.0,0.0,1.0,1.0
2,Normal_Videos_909_x264_0,1.0,0.0,0.0,1.0,1.0
3,Normal_Videos_941_x264_6,1.0,0.0,0.0,1.0,1.0
4,Normal_Videos_914_x264_3,1.0,0.0,0.0,1.0,1.0
5,Normal_Videos_908_x264_14,1.0,0.0,0.0,1.0,1.0
6,Normal_Videos_915_x264_2,1.0,0.0,0.0,1.0,1.0
7,Normal_Videos_896_x264_10,1.0,0.0,0.0,1.0,1.0
8,Normal_Videos_906_x264_12,1.0,0.0,0.0,1.0,1.0
9,Normal_Videos_877_x264_11,1.0,0.0,0.0,1.0,1.0
10,Normal_Videos_907_x264_9,1.0,0.0,0.0,1.0,1.0
11,Normal_Videos_911_x264_4,1.0,0.0,0.0,1.0,1.0
12,Normal_Videos_913_x264_13,1.0,0.0,0.0,1.0,1.0
13,Normal_Videos_872_x264_8,1.0,0.0,0.0,1.0,1.0
14,Normal_Videos_831_x264_7,1.0,0.0,0.0,1.0,1.0
15,Normal_Videos_875_x264_16,1.0,0.0,0.0,1.0,1.0
16,Normal_Videos_908_x264_14-checkpoint,1.0,0.0,0.0,1.0,1.0
